38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2022,2022,2022
ACEH,95.36,86.77,89.7
SUMATERA UTARA,96.1,86.99,92.13
SUMATERA BARAT,93.07,77.53,85.23
RIAU,94.47,87.13,90.07
JAMBI,90.66,73.78,79.19
SUMATERA SELATAN,93.5,82.33,86.35
BENGKULU,83.75,67.9,73.07
LAMPUNG,88.39,78.48,81.6
KEP. BANGKA BELITUNG,85.62,74.82,80.96
KEP. RIAU,93.12,80.88,91.82
DKI JAKARTA,97.93,-,97.93
JAWA BARAT,94.99,86.32,93.04
JAWA TENGAH,96.78,89.56,93.32
DI YOGYAKARTA,97.49,93.34,96.5
JAWA TIMUR,96.89,92.76,95.05
BANTEN,96.95,79.74,92.71
BALI,99.06,96.89,98.42
NUSA TENGGARA BARAT,97.12,93.7,95.4
NUSA TENGGARA TIMUR,97.03,83.03,86.76
KALIMANTAN BARAT,88.86,75.65,80.43
KALIMANTAN TENGAH,87.75,69.49,77.01
KALIMANTAN SELATAN,87.16,65.6,76.18
KALIMANTAN TIMUR,95.03,69.13,87.14
KALIMANTAN UTARA,96.9,77.95,89.96
SULAWESI UTARA,95.64,92.3,94.15
SULAWESI TENGAH,95.68,82.52,86.74
SULAWESI SELATAN,95.76,88.65,91.96
SULAWESI TENGGARA,95.55,94.11,94.64
GORONTALO,99.04,93.86,96.16
SULAWESI BARAT,96.26,74.77,78.98
MALUKU,97.47,87.75,92.1
MALUKU UTARA,98.26,83.91,88.1
PAPUA BARAT,93.53,72.9,81.57
PAPUA BARAT DAYA,-,-,-
PAPUA,90,56.54,65.39
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,95.51,84.93,91.05
