38 Provinsi,
,Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak (Persen)
,2023
ACEH,78.85
SUMATERA UTARA,84.18
SUMATERA BARAT,70.97
RIAU,84.58
JAMBI,83.04
SUMATERA SELATAN,80.54
BENGKULU,80.28
LAMPUNG,84.58
KEP. BANGKA BELITUNG,93.21
KEP. RIAU,91.1
DKI JAKARTA,93.5
JAWA BARAT,74.88
JAWA TENGAH,85.2
DI YOGYAKARTA,96.42
JAWA TIMUR,83.72
BANTEN,86.41
BALI,95.7
NUSA TENGGARA BARAT,85.11
NUSA TENGGARA TIMUR,75.67
KALIMANTAN BARAT,79.89
KALIMANTAN TENGAH,76.31
KALIMANTAN SELATAN,82.89
KALIMANTAN TIMUR,91.21
KALIMANTAN UTARA,84.22
SULAWESI UTARA,85.91
SULAWESI TENGAH,75.8
SULAWESI SELATAN,93.69
SULAWESI TENGGARA,88.99
GORONTALO,81.72
SULAWESI BARAT,80.73
MALUKU,78.17
MALUKU UTARA,80.64
PAPUA BARAT,76.3
PAPUA BARAT DAYA,-
PAPUA,43
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,82.36
