38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,94.34,86.03,88.79
SUMATERA UTARA,96.12,84.48,90.89
SUMATERA BARAT,92.4,74.73,83.4
RIAU,96.21,85.45,89.76
JAMBI,90.08,74.84,79.7
SUMATERA SELATAN,93.26,79.89,84.7
BENGKULU,81.85,60.35,67.39
LAMPUNG,87.5,77,80.2
KEP. BANGKA BELITUNG,77.44,68.12,73.4
KEP. RIAU,92.97,64.57,90.83
DKI JAKARTA,99.86,-,99.86
JAWA BARAT,96.1,83.94,93.24
JAWA TENGAH,96.9,90.18,93.62
DI YOGYAKARTA,96.46,93.23,95.69
JAWA TIMUR,97.17,92.47,95.02
BANTEN,98.1,81.82,93.51
BALI,98.77,94.55,97.56
NUSA TENGGARA BARAT,96.96,92.33,94.6
NUSA TENGGARA TIMUR,95.6,81.82,85.4
KALIMANTAN BARAT,87.79,73.83,78.76
KALIMANTAN TENGAH,87.74,69.64,77.05
KALIMANTAN SELATAN,88.92,64.97,76.4
KALIMANTAN TIMUR,94.72,66.3,85.8
KALIMANTAN UTARA,96.59,70.89,86.8
SULAWESI UTARA,94.66,88.13,91.65
SULAWESI TENGAH,95.8,85.2,88.51
SULAWESI SELATAN,97.08,86.55,91.18
SULAWESI TENGGARA,97.16,89.03,91.94
GORONTALO,99.07,91.12,94.57
SULAWESI BARAT,93.34,74.66,78.35
MALUKU,97.46,89.5,93.21
MALUKU UTARA,96.58,85.2,88.66
PAPUA BARAT,93.73,72.93,81.68
PAPUA BARAT DAYA,-,-,-
PAPUA,90.43,55.19,64.92
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,96,83.91,90.78
